model to model;;;;
;OpfmPlate;OpfmUnitCell;OpfmCube;rel_tol
;PST, [0];PST0;PST0;0.2
;PST, [0, 0];PST0;PST0;0.2
;PST, [90];PST90;PST90;0.2
;PST, [90, 90];PST90;PST90;0.2
;PSC, [0];PSC0;PSC0;0.2
;PSC, [0, 0];PSC0;PSC0;0.2
;PSC, [90];PSC90;PSC90;0.2
;PSC, [90, 90];PSC90;PSC90;0.2
;PST, [45, -45]s;IPS;IPS;0.2
;;;;
model to dataset;;;;
;PgPlate;;;
;OHT;VATool;;0.2
;PST;VATool;;0.2
;;;;
;;;;
;;;;
;OpfmCube;;;
;PST0;max_strength=Xt;;epsilon
;PSC0;max_strength=Xc;;epsilon
;PST90;max_strength=Yt;;epsilon
;PSC90;max_strength=Yc;;epsilon
