Params influents attendus (�tude Airbus VITAL 06/2022;;;;;;
;;;;;;
;OpfmAbaqusCube;OpfmAbaqusCube;OpfmAbaqusPlate;OpfmAbaqusPlate;;
;PST;PSC;OHT;OHC;;
(30, 90, -30, 90, 30, -30)s;E1, E1t, G12, Xt;E1, E2, E1c, G12, Xc, s12, no, f6_1;;;;
(-60, 0, 60, 0, -60, 60)s;;;;;;
(45, 90, -45, 90, 45, -45)s;;;;;;
(45, 0, 135, 90, 45, 0, 135, 90, 45, 0, 135, 90)s;;;E1, def1t, E1t, Xt, S12, no, h11t, alpha2;E1, E1c, Xc, h11c, fcv_d_c;;
;;;;;;
;;;;;;
Etude Q4 2024;;;;;;
mat�riau OPFM non sensiblevimseoms-composites);;;;;;
;;;;;;
parameter space:;;;;;;
distribution triangulaires, cov=0.05. if default value = 0, then consider +/- 0.05 * max_bound. Truncated by model bounds.;;;;;;
distribution uniformes cov=0.20. if default value = 0, then consider +/- 0.05 * max_bound. Truncated by model bounds.;;;;;;
;;;;;;
;OpfmAbaqusCube;OpfmAbaqusCube;OpfmAbaqusPlate;OpfmAbaqusPlate;;
;PST;PSC;OHT;OHC;;
(30, 90, -30, 90, 30, -30)s;x;x;;;;
(-60, 0, 60, 0, -60, 60)s;x;x;;;;
(45, 90, -45, 90, 45, -45)s;x;x;;;;
(45, -45, 0, 45, -45)s;x;x;;;;
(45, 0, 135, 90, 45, 0, 135, 90, 45, 0, 135, 90)s;;;x;x;;
